,name,released_date,rating,votes,score
1720,I Love You to Death,1990-04-06,R,14000.0,6.4
1721,Class of 1999,1990-05-11,R,7000.0,5.9
1722,Death Warrant,1990-09-14,R,18000.0,5.7
1723,White Palace,1990-10-26,R,7700.0,6.5
1724,Close-Up,1991-10-30,Not Rated,17000.0,8.3
1725,Quick Change,1990-07-13,R,20000.0,6.8
1726,Hardware,1990-09-14,R,13000.0,6.0
1727,Mr. Destiny,1990-10-12,PG-13,12000.0,6.4
1728,The Freshman,1990-07-27,PG,19000.0,6.5
1729,Blue Steel,1990-03-16,R,13000.0,5.7
1730,The Krays,1990-11-09,R,7900.0,6.6
1731,Navy Seals,1990-07-20,R,16000.0,5.6
1732,Graveyard Shift,1990-10-26,R,10000.0,4.9
1733,The Sheltering Sky,1990-12-12,R,12000.0,6.8
1734,Dark Angel,1990-09-28,R,11000.0,6.1
1735,The Comfort of Strangers,1991-04-01,R,5000.0,6.3
1736,Mo' Better Blues,1990-08-03,R,12000.0,6.6
1737,"Welcome Home, Roxy Carmichael",1990-10-12,PG-13,5000.0,5.9
1738,Bad Influence,1990-03-09,R,7700.0,6.3
1739,Look Who's Talking Too,1990-12-14,PG-13,45000.0,4.7
1740,Rosencrantz & Guildenstern Are Dead,1991-02-08,PG,21000.0,7.4
1741,Tales from the Darkside: The Movie,1990-05-04,R,16000.0,6.3
1742,The Rookie,1990-12-07,R,26000.0,5.9
1743,Green Card,1991-02-01,PG-13,23000.0,6.2
1744,Metropolitan,1990-08-03,PG-13,10000.0,7.4
1745,Europa Europa,1990-11-14,R,15000.0,7.6
1746,Cyrano de Bergerac,1990-12-01,PG,23000.0,7.5
1747,Almost an Angel,1990-12-19,PG,4200.0,5.6
1748,Everybody Wins,1990-01-19,R,1100.0,5.1
1749,Truly Madly Deeply,1991-05-24,PG,7600.0,7.2
1750,Havana,1990-12-14,R,7400.0,6.1
1751,DuckTales the Movie: Treasure of the Lost Lamp,1990-08-03,G,26000.0,6.9
1752,The Russia House,1990-12-21,R,15000.0,6.1
1753,Life Is Sweet,1991-12-01,R,9500.0,7.5
1754,Jetsons: The Movie,1990-07-06,G,4900.0,5.6
1755,White Hunter Black Heart,1990-09-14,PG,11000.0,6.6
1756,Avalon,1990-10-19,PG,5900.0,7.2
1757,Narrow Margin,1990-09-21,R,8400.0,6.6
1758,Cadillac Man,1990-05-18,R,14000.0,5.7
1759,Taking Care of Business,1990-08-17,R,8100.0,6.5
1760,Texasville,1990-09-28,R,2500.0,6.0
1761,The Guardian,1990-04-27,R,5300.0,5.4
1762,Repossessed,1990-09-14,PG-13,8300.0,4.8
1763,Fire Birds,1990-05-25,PG-13,6000.0,4.8
1764,Miami Blues,1990-04-20,R,8000.0,6.4
1765,The Field,1991-03-01,PG-13,5800.0,7.4
1766,"After Dark, My Sweet",1990-08-24,R,3300.0,6.6
1767,Alice,1991-01-10,PG-13,14000.0,6.6
1768,Side Out,1990-03-30,PG-13,1900.0,5.5
1769,The First Power,1990-04-06,R,3800.0,5.7
1770,Delta Force 2: the Colombian Connection,1990-08-24,R,6900.0,4.9
1771,Desperate Hours,1990-10-05,R,7200.0,5.4
1772,Ju Dou,1991-04-01,PG-13,7800.0,7.7
1773,Cadence,1991-02-15,PG-13,5300.0,6.5
1774,Brain Dead,1990-01-19,R,4100.0,6.0
1775,The Hairdresser's Husband,1990-10-03,R,9200.0,7.3
1776,Ernest Goes to Jail,1990-04-06,PG,9000.0,5.4
1777,Madhouse,1990-02-16,PG-13,3000.0,5.5
1778,A Cry in the Wild,1990-06-01,PG,945.0,5.6
1779,The Long Walk Home,1991-04-12,PG,3500.0,7.3
1780,Mountains of the Moon,1990-02-23,R,3500.0,7.2
1781,Two Evil Eyes,1991-10-25,R,6400.0,6.1
1782,Mr. & Mrs. Bridge,1991-01-18,PG-13,2800.0,6.6
1783,Trust,1991-09-20,R,9400.0,7.4
1784,Crazy People,1990-04-13,R,4200.0,6.0
1785,A Shock to the System,1990-03-23,R,4500.0,6.7
1786,The Boyfriend School,1990-09-21,PG-13,2600.0,5.8
1787,Roger Corman's Frankenstein Unbound,1990-11-02,R,3600.0,5.5
1788,Nuns on the Run,1990-03-30,PG-13,7700.0,6.0
1789,Q&A,1990-04-27,R,5600.0,6.6
1790,An Angel at My Table,1990-09-20,R,6900.0,7.5
1791,Stanley & Iris,1990-02-09,PG-13,7300.0,6.4
1792,Flashback,1990-02-02,R,5100.0,6.2
1793,Men Don't Leave,1990-02-23,PG-13,2400.0,6.7
1794,Ski Patrol,1990-01-12,PG,3400.0,5.2
1795,Ghost Dad,1990-06-29,PG,7500.0,4.4
1796,Book of Love,1991-02-01,PG-13,1100.0,6.2
1797,Hidden Agenda,1991-01-01,R,3700.0,6.9
1798,Everybody's Fine,1991-05-31,PG-13,3700.0,7.7
1799,Spaced Invaders,1990-04-27,PG,3300.0,5.3
1800,Meet the Applegates,1991-02-01,R,2200.0,5.5
1801,Betsy's Wedding,1990-06-22,R,3500.0,5.6
1802,Def by Temptation,1990-05-11,R,1400.0,4.7
1803,Heart Condition,1990-02-02,R,3300.0,5.6
1804,My Father's Glory,1991-08-01,G,6200.0,7.6
1805,Vincent & Theo,1990-11-16,PG-13,3700.0,6.9
1807,Stella,1990-02-02,PG-13,2400.0,6.2
1808,The Forbidden Dance,1990-03-16,PG-13,1500.0,3.9
1809,Loose Cannons,1990-02-09,R,4500.0,4.9
1810,A Tale of Springtime,1990-04-04,PG,4000.0,7.2
1811,To Sleep with Anger,1990-10-12,PG,2200.0,7.2
1812,Where the Heart Is,1990-02-23,R,1500.0,6.0
1813,Love at Large,1990-03-09,R,1200.0,5.7
1814,Boiling Point,1999-11-19,Not Rated,6300.0,6.8
1815,Downtown,1990-01-12,R,1800.0,5.7
1816,Short Time,1990-05-04,PG-13,2200.0,6.4
1817,American Ninja 4: The Annihilation,1991-03-08,R,4600.0,4.0
1818,Gate 2: The Trespassers,1992-02-28,R,2000.0,4.8
1819,Come See the Paradise,1991-01-01,R,2600.0,6.7
1821,Lambada,1990-03-16,PG,979.0,3.5
1822,The Shrimp on the Barbie,1990-08-31,PG-13,1200.0,5.7
1823,May Fools,1990-07-01,R,2900.0,7.3
1824,The Last of the Finest,1990-03-09,R,1200.0,5.8
1825,Strangers in Good Company,1990-01-01,PG,995.0,7.7
1826,Opportunity Knocks,1990-03-30,PG-13,2900.0,6.0
1827,Funny About Love,1990-09-21,PG-13,1300.0,4.9
1828,Graffiti Bridge,1990-11-02,PG-13,1800.0,4.5
1829,Coupe de Ville,1990-03-09,PG-13,2300.0,6.7
1830,Sibling Rivalry,1990-10-26,PG-13,2500.0,5.4
1831,Vital Signs,1990-04-13,R,703.0,5.4
1832,Body Chemistry,1990-03-09,R,406.0,4.3
1833,The Haunting of Morella,1990-02-09,R,694.0,4.4
1834,The Fourth War,1990-03-23,R,1400.0,5.6
1835,Tune in Tomorrow...,1990-11-02,PG-13,1700.0,6.2
1836,Impulse,1990-04-06,R,1200.0,5.7
1837,La discrète,1990-11-21,R,930.0,7.0
1838,Heaven and Earth,1991-02-08,PG-13,958.0,7.0
1839,Crossing the Line,1990-08-31,R,1000.0,5.8
1840,Mindwalk,1991-12-20,PG,3000.0,7.6
1841,The Nasty Girl,1991-03-01,PG-13,2500.0,7.3
1842,Archangel,1990-09-01,Not Rated,1300.0,6.5
1843,Terminator 2: Judgment Day,1991-07-03,R,1000000.0,8.5
1844,Point Break,1991-07-12,R,166000.0,7.3
1845,The Silence of the Lambs,1991-02-14,R,1300000.0,8.6
1846,Hook,1991-12-11,PG,240000.0,6.8
1847,Boyz n the Hood,1991-07-12,R,130000.0,7.8
1848,Cape Fear,1991-11-15,R,180000.0,7.3
1849,Career Opportunities,1991-03-29,PG-13,12000.0,5.9
1850,The Addams Family,1991-11-22,PG-13,140000.0,6.9
1851,Thelma & Louise,1991-05-24,R,142000.0,7.5
1852,Y Tu Mamá También,2001-06-08,R,118000.0,7.6
1853,Robin Hood: Prince of Thieves,1991-06-14,PG-13,182000.0,6.9
1854,The Doors,1991-03-01,R,86000.0,7.2
1855,Beauty and the Beast,1991-11-22,G,424000.0,8.0
1856,Fried Green Tomatoes,1992-01-24,PG-13,69000.0,7.7
1857,JFK,1991-12-20,R,146000.0,8.0
1858,The Rocketeer,1991-06-21,PG,55000.0,6.5
1859,My Girl,1991-11-27,PG,75000.0,6.9
1860,Backdraft,1991-05-24,R,74000.0,6.7
1861,Bill & Ted's Bogus Journey,1991-07-19,PG,72000.0,6.3
1862,Father of the Bride,1991-12-20,PG,71000.0,6.5
1863,City Slickers,1991-06-07,PG-13,51000.0,6.8
1864,Don't Tell Mom the Babysitter's Dead,1991-06-07,PG-13,29000.0,6.3
1865,The Fisher King,1991-09-27,R,81000.0,7.5
1866,Sex and Zen,1991-11-30,R,2200.0,5.6
1867,Sleeping with the Enemy,1991-02-08,R,52000.0,6.3
1868,The Beautiful Troublemaker,1991-09-04,Unrated,7500.0,7.6
1869,Return to the Blue Lagoon,1991-08-02,PG-13,19000.0,5.2
1870,The Last Boy Scout,1991-12-13,R,95000.0,7.0
1871,Star Trek VI: The Undiscovered Country,1991-12-06,PG,72000.0,7.2
1872,My Own Private Idaho,1991-07-20,R,53000.0,7.0
1873,Drop Dead Fred,1991-05-24,PG-13,27000.0,5.9
1874,Hot Shots!,1991-07-31,PG-13,102000.0,6.8
1875,Hudson Hawk,1991-05-24,R,54000.0,5.8
1876,The Prince of Tides,1991-12-25,R,17000.0,6.7
1877,Barton Fink,1991-08-21,R,116000.0,7.7
1878,Nothing But Trouble,1991-02-15,PG-13,23000.0,5.1
1879,What About Bob?,1991-05-17,PG,65000.0,7.0
1880,Naked Lunch,1992-04-24,R,48000.0,7.0
1881,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22,PG,53000.0,6.0
1882,The Naked Gun 2½: The Smell of Fear,1991-06-28,PG-13,108000.0,6.9
1883,Double Impact,1991-08-09,R,39000.0,5.6
1884,The Commitments,1991-09-13,R,34000.0,7.6
1885,The Man in the Moon,1991-10-04,PG-13,16000.0,7.3
1886,The Double Life of Véronique,1991-11-22,R,44000.0,7.8
1887,New Jack City,1991-03-08,R,33000.0,6.7
1888,Toy Soldiers,1991-04-26,R,20000.0,6.6
1889,The People Under the Stairs,1991-11-01,R,32000.0,6.4
1890,Regarding Henry,1991-07-10,PG-13,30000.0,6.7
1891,Bugsy,1991-12-20,R,27000.0,6.8
1892,Doc Hollywood,1991-08-02,PG-13,34000.0,6.2
1893,Delicatessen,1992-04-03,R,82000.0,7.6
1894,Night on Earth,1991-12-12,R,57000.0,7.7
1895,Child's Play 3,1991-08-30,R,37000.0,5.1
1896,Freddy's Dead: The Final Nightmare,1991-09-13,R,43000.0,4.9
1897,Oscar,1991-04-26,PG,30000.0,6.5
1898,The Lovers on the Bridge,1999-07-02,R,13000.0,7.6
1899,Highlander II: The Quickening,1991-11-01,R,44000.0,4.2
1900,Stone Cold,1991-05-17,R,7300.0,6.0
1901,Wild Hearts Can't Be Broken,1991-05-24,G,5000.0,7.2
1902,Showdown in Little Tokyo,1991-08-23,R,17000.0,6.1
1903,Jungle Fever,1991-06-07,R,17000.0,6.6
1904,Harley Davidson and the Marlboro Man,1991-08-23,R,19000.0,6.1
1905,Not Without My Daughter,1991-01-11,PG-13,13000.0,6.4
1906,Defending Your Life,1991-04-05,PG,18000.0,7.2
1907,Flight of the Intruder,1991-01-18,PG-13,6600.0,5.8
1908,Problem Child 2,1991-07-03,PG-13,21000.0,4.9
1909,The Hard Way,1991-03-08,R,19000.0,6.4
1910,Ricochet,1991-10-04,R,17000.0,6.2
1911,L.A. Story,1991-02-08,PG-13,30000.0,6.7
1912,Rush,1992-01-17,R,8200.0,6.8
1913,Dead Again,1991-08-30,R,27000.0,6.9
1914,Out for Justice,1991-04-12,R,22000.0,6.1
1915,Only Yesterday,2016-02-26,PG,29000.0,7.6
1916,The Indian Runner,1991-09-20,R,8600.0,7.0
1917,An American Tail: Fievel Goes West,1991-11-22,G,24000.0,6.5
1918,Life Stinks,1991-07-26,PG-13,9800.0,5.9
1919,Frankie and Johnny,1991-10-11,R,30000.0,6.7
1920,Grand Canyon,1992-01-17,R,15000.0,6.9
1921,Close My Eyes,1991-11-22,R,3100.0,6.3
1922,Homicide,1991-08-28,R,6500.0,7.0
1923,Soapdish,1991-05-31,PG-13,15000.0,6.6
1924,Curly Sue,1991-10-25,PG,21000.0,5.9
1925,The Rapture,1991-10-04,R,5000.0,6.3
1926,Mannequin: on the Move,1991-05-17,PG,5800.0,4.4
1927,Rock-A-Doodle,1992-04-03,G,8800.0,6.1
1928,Necessary Roughness,1991-09-27,PG-13,11000.0,6.2
1929,Cool as Ice,1991-10-18,PG,9100.0,2.9
1930,Wild Orchid II: Two Shades of Blue,1992-05-08,R,1500.0,4.0
1931,Switch,1991-05-10,R,9100.0,5.8
1932,White Fang,1991-01-18,PG,20000.0,6.7
1933,Until the End of the World,1991-12-25,R,9500.0,6.8
1934,Only the Lonely,1991-05-24,PG-13,10000.0,6.4
1935,Dutch,1991-07-19,PG-13,12000.0,6.5
1936,Shattered,1991-10-11,R,8900.0,6.5
1937,Raise the Red Lantern,1991-12-18,PG,30000.0,8.1
1938,Suburban Commando,1991-10-04,PG,9600.0,4.5
1939,Popcorn,1991-02-01,R,4200.0,5.8
1940,Mobsters,1991-07-26,R,8600.0,6.0
1941,Operation Condor,1997-07-18,PG-13,19000.0,7.3
1942,If Looks Could Kill,1991-03-15,PG-13,6600.0,5.8
1943,The Butcher's Wife,1991-10-25,PG-13,6800.0,5.4
1944,Dying Young,1991-06-21,R,15000.0,6.1
1945,Dogfight,1991-10-04,R,8700.0,7.4
1946,Whore,1991-10-18,NC-17,3500.0,5.6
1947,Hear My Song,1992-02-01,R,1600.0,7.0
1948,Other People's Money,1991-10-18,R,8200.0,6.2
1949,Delirious,1991-08-09,PG,8000.0,5.9
1950,Flirting,1992-11-14,R,5800.0,7.2
1951,The Pit and the Pendulum,1991-04-01,R,4400.0,6.0
1952,High Heels,1991-12-20,R,14000.0,7.1
1953,Little Man Tate,1991-11-01,PG,14000.0,6.6
1954,Shadows and Fog,1992-03-20,PG-13,16000.0,6.7
1955,Shakes the Clown,1992-03-13,R,4700.0,5.6
1956,Black Robe,1991-10-04,R,6600.0,7.1
1957,Billy Bathgate,1991-11-01,R,11000.0,5.9
1958,Europa,1991-06-27,R,20000.0,7.6
1959,The Doctor,1991-08-16,PG-13,5200.0,7.0
1960,Kafka,1991-11-15,PG-13,9600.0,6.9
1961,Johnny Suede,1992-04-22,R,3800.0,5.8
1962,Mystery Date,1991-08-16,PG-13,2700.0,6.0
1963,Ernest Scared Stupid,1991-10-11,PG,11000.0,5.8
1964,The Five Heartbeats,1991-03-29,R,3900.0,7.6
1965,Mississippi Masala,1992-02-05,R,4800.0,6.7
1966,The Marrying Man,1991-04-05,R,5300.0,5.8
1967,"He Said, She Said",1991-02-22,PG-13,6100.0,5.6
1968,Poison,1991-08-16,Unrated,4100.0,6.4
1969,King Ralph,1991-02-15,PG,15000.0,5.3
1970,Enchanted April,1992-12-25,PG,6200.0,7.4
1971,Mediterraneo,1991-01-31,R,14000.0,7.5
1972,House Party 2,1991-10-23,R,6100.0,5.3
1973,Deceived,1991-09-27,PG-13,6700.0,6.2
1974,The Perfect Weapon,1991-03-15,R,3800.0,6.0
1975,Class Action,1991-03-15,R,7000.0,6.4
1976,Under Suspicion,1992-02-28,R,3800.0,6.5
1977,Edward II,1991-10-18,R,2500.0,6.8
1978,The Princess and the Goblin,1994-06-03,G,2600.0,6.8
1979,Rambling Rose,1991-09-20,R,4700.0,6.6
1980,Big Girls Don't Cry... They Get Even,1992-05-08,PG,1800.0,6.5
1981,K2,1992-05-01,R,6500.0,6.2
1982,Prospero's Books,1991-08-30,R,6100.0,6.9
1983,Pure Luck,1991-08-09,PG,6700.0,5.8
1984,F/X2,1991-05-10,PG-13,9000.0,5.9
1985,The Adjuster,1992-07-01,R,3300.0,6.7
1986,Mortal Thoughts,1991-04-19,R,8400.0,5.7
1987,Another You,1991-07-26,R,3700.0,5.4
1988,For the Boys,1991-11-27,R,5300.0,6.4
1989,Beastmaster 2: Through the Portal of Time,1991-08-30,PG-13,3000.0,4.1
1990,McBain,1991-09-20,R,1700.0,4.8
1991,Eve of Destruction,1991-01-18,R,2100.0,4.9
1992,A Rage in Harlem,1991-05-03,R,2000.0,5.9
1993,Rhapsody in August,1991-12-20,PG,6400.0,7.2
1994,Kickboxer 2: the Road Back,1991-06-14,R,5400.0,4.5
1995,V.I. Warshawski,1991-07-26,R,4800.0,5.0
1996,The Super,1991-10-04,R,5400.0,5.6
1997,Proof,1992-03-20,R,6300.0,7.2
1998,At Play in the Fields of the Lord,1991-12-06,R,3100.0,6.8
1999,True Colors,1991-03-15,R,5000.0,6.3
2000,Impromptu,1991-05-01,PG-13,4800.0,6.9
2001,A Kiss Before Dying,1991-04-26,R,5100.0,5.7
2002,Guilty by Suspicion,1991-03-15,PG-13,8000.0,6.5
2003,Scissors,1991-03-22,R,2700.0,5.2
2004,Where Angels Fear to Tread,1992-02-28,PG,2100.0,6.4
2005,Tous les matins du monde,1991-12-18,Not Rated,6800.0,7.5
2006,The Hitman,1991-10-25,R,3700.0,5.4
2007,Bingo,1991-08-09,PG,2700.0,4.9
2008,Queens Logic,1991-02-01,R,1500.0,5.9
2009,Body Parts,1991-08-02,R,4100.0,5.6
2010,One Good Cop,1991-05-03,R,3900.0,5.9
2011,Year of the Gun,1991-11-01,R,2500.0,5.6
2012,Strictly Business,1991-11-08,PG-13,1900.0,5.5
2013,The Efficiency Expert,1992-11-06,PG,1700.0,6.2
2014,All I Want for Christmas,1991-11-08,G,4600.0,6.0
2015,29th Street,1991-11-01,R,2700.0,7.3
2016,Shout,1991-10-04,PG-13,1800.0,5.3
2017,Daughters of the Dust,1991-12-27,TV-PG,2300.0,6.6
2018,Once Around,1991-02-01,R,4100.0,6.5
2019,Sólo con tu pareja,1992-12-25,Not Rated,3500.0,6.9
2020,The Taking of Beverly Hills,1991-10-11,R,1100.0,5.1
2021,Run,1991-02-01,R,2600.0,6.2
2022,Paradise,1991-10-04,PG-13,2700.0,6.7
2023,Madame Bovary,1991-12-25,PG-13,3600.0,6.6
2024,Company Business,1991-09-06,PG-13,2600.0,5.6
2025,Talent for the Game,1991-06-28,PG,796.0,6.0
2026,City of Hope,1991-11-15,R,2300.0,7.3
2027,Riff-Raff,1993-02-12,R,4300.0,7.1
2028,The Object of Beauty,1991-04-12,R,2000.0,5.7
2029,Liebestraum,1991-11-01,R,1500.0,5.9
2030,Voyager,1992-01-31,PG-13,3100.0,6.7
2031,Closet Land,1991-03-06,R,2700.0,7.1
2032,Timebomb,1991-05-25,R,1600.0,5.4
2033,Crooked Hearts,1991-09-06,R,945.0,6.0
2034,The Unborn,1991-03-29,R,1100.0,4.6
2035,Van Gogh,1992-10-30,R,2800.0,7.2
2036,Late for Dinner,1991-09-20,PG,1700.0,6.4
2037,Lovers: A True Story,1991-04-12,R,2800.0,7.0
2038,Johnny Stecchino,1991-10-24,R,10000.0,7.2
2039,Stepping Out,1991-10-11,PG,1100.0,6.4
2040,The Inner Circle,1991-12-25,PG-13,2000.0,7.1
2041,"Mon père, ce héros.",1991-10-23,R,2600.0,6.1
2042,Defenseless,1991-08-23,R,815.0,5.6
2043,Reservoir Dogs,1992-09-02,R,943000.0,8.3
2044,Basic Instinct,1992-03-20,R,186000.0,7.0
2045,Candyman,1992-10-16,R,74000.0,6.6
2046,My Cousin Vinny,1992-03-13,R,112000.0,7.6
2047,The Last of the Mohicans,1992-09-25,R,156000.0,7.7
2048,Dracula,1992-11-13,R,199000.0,7.4
2049,Unforgiven,1992-08-07,R,385000.0,8.2
2050,A Few Good Men,1992-12-11,R,242000.0,7.7
2051,A League of Their Own,1992-07-01,PG,97000.0,7.3
2052,The Bodyguard,1992-11-25,R,124000.0,6.3
2053,Scent of a Woman,1993-01-08,R,274000.0,8.0
2054,Batman Returns,1992-06-19,PG-13,280000.0,7.0
2055,The Mighty Ducks,1992-10-02,PG,62000.0,6.6
2056,Aladdin,1992-11-25,G,382000.0,8.0
2057,Sister Act,1992-05-29,PG,91000.0,6.4
2058,Alien 3,1992-05-22,R,284000.0,6.5
2059,Death Becomes Her,1992-07-31,PG-13,108000.0,6.6
2060,Far and Away,1992-05-22,PG-13,60000.0,6.6
2061,The Crying Game,1993-02-19,R,52000.0,7.3
2062,Howards End,1993-02-26,PG,30000.0,7.4
2063,Under Siege,1992-10-09,R,80000.0,6.5
2064,Deep Cover,1992-04-15,R,9500.0,6.9
2065,Single White Female,1992-08-14,R,34000.0,6.4
2066,Cool World,1992-07-10,PG-13,22000.0,4.9
2067,Glengarry Glen Ross,1992-10-02,R,98000.0,7.7
2068,Wayne's World,1992-02-14,PG-13,148000.0,7.0
2069,Army of Darkness,1993-02-19,R,166000.0,7.5
2070,A River Runs Through It,1992-10-30,PG,55000.0,7.2
2071,Twin Peaks: Fire Walk with Me,1992-08-28,R,89000.0,7.3
2072,Of Mice and Men,1992-10-02,PG-13,41000.0,7.5
2073,Beethoven,1992-04-03,PG,68000.0,5.7
2074,Universal Soldier,1992-07-10,R,85000.0,6.0
2075,Buffy the Vampire Slayer,1992-07-31,PG-13,41000.0,5.7
2076,Sleepwalkers,1992-04-10,R,21000.0,5.3
2077,Chaplin,1993-01-08,PG-13,55000.0,7.5
2078,The Lover,1992-10-30,R,20000.0,6.9
2079,Home Alone 2: Lost in New York,1992-11-20,PG,318000.0,6.8
2080,The Hand That Rocks the Cradle,1992-01-10,R,40000.0,6.6
2081,Newsies,1992-04-10,PG,19000.0,6.9
2082,Malcolm X,1992-11-18,PG-13,89000.0,7.7
2083,Patriot Games,1992-06-05,R,106000.0,6.9
2084,Dead Alive,1993-02-12,R,93000.0,7.5
2085,Poison Ivy,1992-05-08,R,18000.0,5.4
2086,Sneakers,1992-09-11,PG-13,54000.0,7.1
2087,The Lawnmower Man,1992-03-06,R,34000.0,5.4
2088,The Player,1992-05-08,R,56000.0,7.5
2089,Encino Man,1992-05-22,PG,38000.0,5.8
2090,White Men Can't Jump,1992-03-27,R,78000.0,6.8
2091,Lethal Weapon 3,1992-05-15,R,160000.0,6.7
2092,American Me,1992-03-13,R,8600.0,7.2
2093,El Mariachi,1993-02-26,R,64000.0,6.9
2094,Bitter Moon,1994-03-18,R,37000.0,7.2
2095,Pet Sematary II,1992-08-28,R,20000.0,4.9
2096,Bad Lieutenant,1992-12-17,NC-17,40000.0,7.1
2097,Singles,1992-09-18,PG-13,28000.0,6.7
2098,FernGully: The Last Rainforest,1992-04-10,G,28000.0,6.5
2099,HouseSitter,1992-06-12,PG,23000.0,6.1
2100,School Ties,1992-09-18,PG-13,23000.0,6.9
2101,Hoffa,1992-12-25,R,22000.0,6.6
2102,Juice,1992-01-17,R,25000.0,7.1
2103,Damage,1993-01-22,R,17000.0,6.8
2104,Forever Young,1992-12-16,PG,45000.0,6.3
2105,Man Bites Dog,1993-01-15,NC-17,37000.0,7.5
2106,3 Ninjas,1992-08-07,PG,21000.0,5.3
2107,Hellraiser III: Hell on Earth,1992-09-11,R,28000.0,5.5
2108,Body of Evidence,1993-01-15,R,14000.0,4.5
2109,"Honey, I Blew Up the Kid",1992-07-17,PG,42000.0,4.9
2110,Captain Ron,1992-09-18,PG-13,21000.0,5.8
2111,The Cutting Edge,1992-03-27,PG,19000.0,6.9
2112,Passenger 57,1992-11-06,R,46000.0,5.9
2113,"Jamón, Jamón",1994-02-04,R,13000.0,6.4
2114,Children of the Corn II: the Final Sacrifice,1993-01-29,R,7900.0,4.3
2115,Ladybugs,1992-03-27,PG-13,9100.0,5.5
2116,Radio Flyer,1992-02-21,PG-13,13000.0,7.0
2117,Strictly Ballroom,1993-02-12,PG,26000.0,7.2
2118,Raising Cain,1992-08-07,R,15000.0,6.1
2119,Orlando,1993-06-09,PG-13,15000.0,7.2
2120,Gladiator,1992-03-06,R,8500.0,6.5
2121,Split Second,1992-05-01,R,13000.0,6.2
2122,Tom and Jerry: The Movie,1993-07-30,G,10000.0,5.4
2123,Toys,1992-12-18,PG-13,31000.0,5.1
2124,Romper Stomper,1992-11-12,R,38000.0,6.8
2125,1492: Conquest of Paradise,1992-10-09,PG-13,29000.0,6.5
2126,Pure Country,1992-10-23,PG,4100.0,7.0
2127,Boomerang,1992-07-01,R,27000.0,5.5
2128,The Power of One,1992-03-27,PG-13,9500.0,7.2
2129,Dr. Giggles,1992-10-23,R,5900.0,5.2
2130,Sidekicks,1993-04-30,PG,8000.0,5.1
2131,Medicine Man,1992-02-07,PG-13,22000.0,6.0
2132,Honeymoon in Vegas,1992-08-28,PG-13,17000.0,5.8
2133,Thunderheart,1992-04-03,R,15000.0,6.8
2134,Stop! Or My Mom Will Shoot,1992-02-21,PG-13,39000.0,4.3
2135,Innocent Blood,1992-09-25,R,9500.0,6.2
2136,Unlawful Entry,1992-06-26,R,15000.0,6.3
2137,Lorenzo's Oil,1993-01-29,PG-13,21000.0,7.3
2138,Final Analysis,1992-02-07,R,14000.0,5.9
2139,One False Move,1992-05-08,R,11000.0,7.1
2140,Stay Tuned,1992-08-14,PG,11000.0,6.2
2141,Consenting Adults,1992-10-16,R,7000.0,5.7
2142,Fortress,1993-09-03,R,28000.0,5.9
2143,Once Upon a Crime...,1992-03-06,PG,4100.0,5.9
2144,Mom and Dad Save the World,1992-07-24,PG,4400.0,5.4
2145,Supercop,1992-07-04,R,20000.0,6.9
2146,Jennifer 8,1992-11-06,R,16000.0,6.3
2147,Bébé's Kids,1992-07-31,PG-13,4900.0,5.8
2148,Memoirs of an Invisible Man,1992-02-28,PG-13,23000.0,6.0
2149,Peter's Friends,1992-12-25,R,11000.0,7.0
2150,Freejack,1992-01-17,R,15000.0,5.4
2151,Como agua para chocolate,1993-05-28,R,17000.0,7.1
2152,Leap of Faith,1992-12-18,PG-13,13000.0,6.1
2153,Noises Off...,1992-03-20,PG-13,11000.0,7.5
2154,Class Act,1992-06-05,PG-13,7100.0,6.1
2155,Diggstown,1992-08-14,R,7000.0,7.0
2156,Indochine,1992-12-23,PG-13,9500.0,7.1
2157,Nemesis,1992-12-26,R,5300.0,5.4
2158,Kuffs,1992-01-10,PG-13,10000.0,5.9
2159,Shining Through,1992-01-31,R,9400.0,6.4
2160,Mo' Money,1992-07-24,R,7200.0,5.5
2161,Husbands and Wives,1992-09-18,R,28000.0,7.5
2162,Trespass,1992-12-25,R,10000.0,6.3
2163,Love Potion No. 9,1992-11-13,PG-13,13000.0,5.7
2164,Rapid Fire,1992-08-21,R,8600.0,6.3
2165,Wind,1992-09-11,PG-13,2600.0,6.4
2166,Hero,1992-10-02,PG-13,22000.0,6.5
2167,South Central,1992-09-18,R,5400.0,6.8
2168,The Muppet Christmas Carol,1992-12-11,G,51000.0,7.7
2169,Un Coeur en Hiver,1993-06-04,R,9300.0,7.6
2170,Tokyo Decadence,1993-04-30,NC-17,3000.0,6.0
2171,Mr. Baseball,1992-10-02,PG-13,10000.0,6.0
2172,Love Crimes,1992-01-24,R,874.0,4.2
2173,Naked Killer,1995-08-04,R,2200.0,6.0
2174,CrissCross,1992-05-08,R,1800.0,5.8
2175,Waterland,1992-10-30,R,2100.0,6.6
2176,The Distinguished Gentleman,1992-12-04,R,15000.0,5.9
2177,White Sands,1992-04-24,R,7300.0,6.0
2178,Belle Epoque,1994-02-25,R,9700.0,7.1
2179,Swoon,1992-09-25,R,1600.0,6.7
2180,Knight Moves,1993-01-22,R,8100.0,6.1
2181,Light Sleeper,1992-03-13,R,6300.0,6.8
2182,A Midnight Clear,1992-04-24,R,8500.0,7.2
2183,Bob Roberts,1992-09-04,R,13000.0,7.0
