,name,released_date,rating,votes,score
109,The Four Seasons,1981-05-22,PG,4200.0,6.8
110,Friday the 13th Part 2,1981-05-01,R,61000.0,6.1
111,Scanners,1981-01-14,R,51000.0,6.8
112,For Your Eyes Only,1981-06-26,PG,94000.0,6.7
113,Halloween II,1981-10-30,R,77000.0,6.5
114,Taps,1981-12-25,PG,17000.0,6.8
115,Reds,1981-12-25,PG,21000.0,7.3
116,On Golden Pond,1982-02-12,PG,29000.0,7.6
117,The Fox and the Hound,1981-07-10,G,87000.0,7.3
118,Chariots of Fire,1982-04-09,PG,56000.0,7.2
119,Absence of Malice,1981-12-18,PG,12000.0,6.9
120,Tarzan the Ape Man,1981-07-24,Approved,5300.0,3.4
121,Victory,1981-07-31,PG,29000.0,6.7
122,Arthur,1981-07-17,PG,27000.0,6.9
123,My Dinner with Andre,1981-10-11,PG,19000.0,7.8
124,Caveman,1981-04-17,PG,7300.0,5.8
125,Dead & Buried,1981-10-09,R,11000.0,6.6
126,History of the World: Part I,1981-06-12,R,47000.0,6.9
127,The Howling,1981-04-10,R,32000.0,6.6
128,Dragonslayer,1981-06-26,PG,16000.0,6.7
129,Cutter's Way,1982-02-10,R,5300.0,6.9
130,Quest for Fire,1982-02-12,R,21000.0,7.3
131,The Final Conflict,1981-03-20,R,19000.0,5.6
132,Mommie Dearest,1981-09-25,R,15000.0,6.7
133,Private Lessons,1981-06-10,R,3400.0,5.2
134,The Postman Always Rings Twice,1981-03-20,R,22000.0,6.6
135,Ragtime,1981-12-25,PG,9000.0,7.3
136,Deadly Blessing,1981-08-14,R,5200.0,5.6
137,Eyewitness,1981-02-13,R,4500.0,6.0
138,Gallipoli,1981-08-28,PG,38000.0,7.4
139,Outland,1981-05-22,R,28000.0,6.6
140,Southern Comfort,1981-09-25,R,17000.0,7.2
141,S.O.B.,1981-07-01,R,5700.0,6.4
142,The Beyond,1983-11-11,R,21000.0,6.8
143,Ghost Story,1981-12-18,R,7900.0,6.3
144,My Bloody Valentine,1981-02-11,R,19000.0,6.3
145,The Funhouse,1981-03-13,R,13000.0,5.9
146,One from the Heart,1982-02-11,R,5700.0,6.5
147,The French Lieutenant's Woman,1981-10-16,R,13000.0,7.0
148,The Great Muppet Caper,1981-06-26,G,14000.0,7.2
149,True Confessions,1981-09-25,R,7500.0,6.3
150,Looker,1981-10-30,PG,4900.0,6.1
151,Nighthawks,1981-04-10,R,18000.0,6.4
152,Nice Dreams,1981-06-05,R,7100.0,6.2
153,Sharky's Machine,1981-12-18,R,5600.0,6.3
