,released_date,budget,gross
133,1981-06-10,2800000.0,26279000.0
134,1981-03-20,12000000.0,12376625.0
135,1981-12-25,20500000.0,14920781.0
136,1981-08-14,2500000.0,8279042.0
137,1981-02-13,8500000.0,6400000.0
138,1981-08-28,20500000.0,5732587.0
139,1981-05-22,16000000.0,17374595.0
140,1981-09-25,20500000.0,20208496.0
141,1981-07-01,12000000.0,14867086.0
142,1983-11-11,400000.0,123843.0
143,1981-12-18,20500000.0,23371905.0
144,1981-02-11,20500000.0,5672031.0
145,1981-03-13,20500000.0,7886857.0
146,1982-02-11,26000000.0,636796.0
147,1981-10-16,20500000.0,26890068.0
148,1981-06-26,20500000.0,31206251.0
149,1981-09-25,10000000.0,12850276.0
150,1981-10-30,8000000.0,20208496.0
151,1981-04-10,5000000.0,19905359.0
152,1981-06-05,20500000.0,37000000.0
153,1981-12-18,20500000.0,35610100.0
154,1981-12-18,8500000.0,29916207.0
155,1981-12-10,20500000.0,237000.0
156,1981-07-24,20500000.0,17583634.0
157,1981-07-24,17000000.0,10626725.0
158,1981-08-07,20500000.0,5165432.0
159,1981-08-26,8600000.0,8124257.0
160,1981-04-24,20500000.0,2447576.0
161,1981-09-18,20500000.0,15578237.0
162,1982-04-23,20500000.0,110014.0
163,1982-01-29,20500000.0,5229643.0
164,1981-02-06,20500000.0,29200000.0
165,1981-03-27,800000.0,1118634.0
166,1981-07-17,20500000.0,20208496.0
167,1981-07-31,20000000.0,18826490.0
168,1981-09-25,6000000.0,9566593.0
169,1981-01-30,20500000.0,20259961.0
170,1981-06-05,20500000.0,14923752.0
171,1981-10-25,20500000.0,12042.0
172,1981-05-01,250000.0,20208496.0
173,1981-12-25,8000000.0,26154211.0
174,1982-01-01,22000000.0,9171289.0
175,1981-02-13,1500000.0,20208496.0
176,1981-05-22,18000000.0,12617845.0
177,1981-02-11,14000000.0,2022771.0
178,1981-09-11,20500000.0,1169875.0
179,1981-08-14,3800000.0,20208496.0
180,1982-01-01,2700000.0,3256082.0
181,1981-10-09,20500000.0,14492125.0
182,1981-12-11,10000000.0,7258543.0
183,1981-05-22,11000000.0,31261269.0
184,1981-03-13,20500000.0,2863642.0
185,1981-12-18,12000000.0,2154696.0
186,1981-03-13,20500000.0,11809387.0
187,1981-05-15,3500000.0,17569027.0
188,1981-09-18,20500000.0,1976198.0
189,1982-01-22,13000000.0,8206145.0
190,1982-09-17,46000000.0,5200986.0
191,1981-03-06,14000000.0,4454295.0
192,1981-11-13,12000000.0,3702028.0
193,1981-12-11,16000000.0,10851261.0
194,1981-09-25,20500000.0,25524778.0
195,1981-08-21,24000000.0,2004742.0
196,1981-10-02,20500000.0,18838812.0
